school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
31,129,天津,2022,俄语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,1,4,5000,（校本部）,不限
31,147,天津,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,1,4,5000,（校本部）,不限
31,149,天津,2022,西班牙语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,1,4,5000,（校本部）,不限
31,162364,天津,2022,葡萄牙语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,1,4,5000,（校本部）,不限
31,129,天津,2022,俄语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,1,4,5000,（校本部）,不限
31,147,天津,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,1,4,5000,（校本部）,不限
31,149,天津,2022,西班牙语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,1,4,5000,（校本部）,不限
31,162364,天津,2022,葡萄牙语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,1,4,5000,（校本部）,不限
31,1861231,河北,2022,文科试验班类,本科(普通) (1),,,普通类,本科批,历史类,22,四年,,（学费待定）,
31,1862413,河北,2022,理科试验班类,本科(普通) (1),,,普通类,本科批,物理类,18,四年,,（学费待定）,
31,76,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科提前批B段,物理类,1,4,5000,（国家专项计划）,
31,95916,河北,2022,心理学类,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科提前批B段,物理类,1,4,5000,（国家专项计划）（含心理学专业）,
31,95917,河北,2022,地球物理学类,本科(普通) (1),理学 (9),地球物理学类 (58),普通类,本科提前批B段,物理类,1,4,5000,（国家专项计划）（含地球物理学、空间科学与技术、空间科学与技术（遥感与地理信息系统）专业）,
31,95918,河北,2022,工科试验班类,本科(普通) (1),,,普通类,本科提前批B段,物理类,1,4,5000,（国家专项计划）（含理论与应用力学、工程力学、航空航天工程、生物医学工程、材料科学与工程专业）,
31,1532342,河北,2022,马克思主义理论类,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,历史类,2,4,5000,（含马克思主义理论专业）,
31,129,河北,2022,俄语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,历史类,1,4,5000,（只招英语语种考生）,
31,145,河北,2022,德语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,历史类,1,4,5000,（只招英语语种考生）,
31,149,河北,2022,西班牙语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,历史类,1,4,5000,（只招英语语种考生）,
31,154,河北,2022,朝鲜语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,历史类,1,4,5000,（只招英语语种考生）,
31,162364,河北,2022,葡萄牙语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,历史类,1,4,5000,（只招英语语种考生）,
31,76,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科提前批B段,历史类,1,4,5000,（国家专项计划）,
31,116,河北,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科提前批B段,历史类,1,4,5000,（国家专项计划）,
31,95864,河北,2022,社会学类,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科提前批B段,历史类,1,4,5000,（国家专项计划）（含社会学、社会工作专业）,
31,95866,河北,2022,公共管理类,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科提前批B段,历史类,1,4,5000,（国家专项计划）（含城市管理、行政管理、行政管理（政治与行政）专业）,
31,76,山西,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,2,-,5000,,
31,95870,山西,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,2,-,5000,,
31,95877,山西,2022,国际政治,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科一批A段,文科,2,-,5000,,
31,572239,山西,2022,社会学类,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科一批A段,文科,2,-,5000,,
31,88,山西,2022,考古学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科一批A段,文科,1,-,5000,,
31,111,山西,2022,城乡规划,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科一批A段,文科,1,-,5000,,
31,116,山西,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批A段,文科,1,-,5000,,
31,572227,山西,2022,经济学类,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科一批A段,文科,1,-,5000,,
31,572241,山西,2022,新闻传播学类,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科一批A段,文科,1,-,5000,,
31,572242,山西,2022,历史学类,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科一批A段,文科,1,-,5000,,
31,1361880,山西,2022,工商管理类,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,文科,1,-,5000,,
31,1885905,山西,2022,文科试验班类,本科(普通) (1),,,普通类,本科一批A段,文科,1,-,5300,,
31,1885906,山西,2022,人文科学试验班,本科(普通) (1),,,普通类,本科一批A段,文科,1,-,5000,,
31,1885907,山西,2022,哲学类,本科(普通) (1),哲学 (3),哲学类 (34),普通类,本科一批A段,文科,1,-,5000,,
31,1885908,山西,2022,中国语言文学类,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,1,-,5000,,
31,1885909,山西,2022,公共管理类,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科一批A段,文科,1,-,5000,,
